2021-04-25 15:31:07,628 - {"进程PID": "", "手工排查确认": "[1]cat /home/xSRC_1.0.2/.bash_history", "异常时间": "", "异常文件": "/home/xSRC_1.0.2/.bash_history", "风险名称": "history文件安全扫描", "处理方案": "", "异常信息": "反弹shell类：curl -O https://raw.githubusercontent.com/atrandys/trojan/master/trojan_mult.sh && chmod +x trojan_mult.sh && ./trojan_mult.sh", "检测项": "主机历史操作类安全检测", "风险级别": "风险", "所属用户": ""}
2021-04-25 15:31:07,628 - {"进程PID": "", "手工排查确认": "[1]ls -l /var/lib/docker/overlay2/b0efa1d71fb90b83e91eff1343151993a1ed0060947aaf07da59a8a20607b88a/diff/usr/bin/expiry", "异常时间": "2018-05-19 19:19:17", "异常文件": "/var/lib/docker/overlay2/b0efa1d71fb90b83e91eff1343151993a1ed0060947aaf07da59a8a20607b88a/diff/usr/bin/expiry", "风险名称": "setuid 后门", "处理方案": "chmod u-s /var/lib/docker/overlay2/b0efa1d71fb90b83e91eff1343151993a1ed0060947aaf07da59a8a20607b88a/diff/usr/bin/expiry #去掉setuid曲线", "异常信息": "文件/var/lib/docker/overlay2/b0efa1d71fb90b83e91eff1343151993a1ed0060947aaf07da59a8a20607b88a/diff/usr/bin/expiry 被设置setuid属性，通常此类被设置权限的文件执行后会给予普通用户root权限", "检测项": "常规后门检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,628 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/ips_test2.0/ips_pcap/backdoor/10020181.pcap [2]strings /root/ips_test2.0/ips_pcap/backdoor/10020181.pcap", "异常时间": "2021-02-01 11:17:12", "异常文件": "/root/ips_test2.0/ips_pcap/backdoor/10020181.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/ips_test2.0/ips_pcap/backdoor/10020181.pcap #删除恶意文件", "异常信息": "境外ip操作类：<html><title>WANRemote 3.0 - Log Out</title><body bgcolor=\"#000000\" text=\"#FFFFFF\" link=\"#00FF00\" vlink=\"#00FF00\" alink=\"#00FF00\" background=\"http://195.182.165.1/~crypt98/x/binary.gif\"><font face=\"Arial\" size=\"6\" color=\"#FFFFFF\"><center><b><i><img src=\"http://195.182.165.1/~crypt98/x/logo.gif\"> <img src=\"http://195.182.165.1/~crypt98/x/title.gif\"><br><br><font size=\"1\">Programmed by <font color=\"#00FF00\">BRAiN/TROUBLE<font color=\"#FFFFFF\"> 1999-2000</i><br><br><font face=\"Arial\" size=\"5\" color=\"#000000\"><font color=\"#7F7F7F\">Log Out<font size=\"3\" color=\"#FFFFFF\"><br></b><br><br>Logout successful. Thank you for using WANRemote 3.0<center><br><br><font size=\"2\" color=\"#FFFFFF\"><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/main.gif\" border=\"0\"></a><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/up.gif\" border=\"0\"></a><a href=\"/x-logout\"><img src=\"http://195.182.165.1/~crypt98/x/logout.gif\" border=\"0\"></a><a href=\"/about\"><img src=\"http://195.182.165.1/~crypt98/x/about.gif\" border=\"0\"></a><br><br><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c3.jpg\"><br><br><b><font size=\"1\">Running server version <font color=\"#00FF00\">3.0<font color=\"#FFFFFq", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,628 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/ips_test2.0/backup/ips_pcap/file/12020114.pcap [2]strings /root/ips_test2.0/backup/ips_pcap/file/12020114.pcap", "异常时间": "2021-02-01 11:17:14", "异常文件": "/root/ips_test2.0/backup/ips_pcap/file/12020114.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/ips_test2.0/backup/ips_pcap/file/12020114.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.126/repro/", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap [2]strings /root/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap", "异常时间": "2021-02-01 11:17:16", "异常文件": "/root/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap #删除恶意文件", "异常信息": "境外ip操作类：<html><title>WANRemote 3.0 - Log Out</title><body bgcolor=\"#000000\" text=\"#FFFFFF\" link=\"#00FF00\" vlink=\"#00FF00\" alink=\"#00FF00\" background=\"http://195.182.165.1/~crypt98/x/binary.gif\"><font face=\"Arial\" size=\"6\" color=\"#FFFFFF\"><center><b><i><img src=\"http://195.182.165.1/~crypt98/x/logo.gif\"> <img src=\"http://195.182.165.1/~crypt98/x/title.gif\"><br><br><font size=\"1\">Programmed by <font color=\"#00FF00\">BRAiN/TROUBLE<font color=\"#FFFFFF\"> 1999-2000</i><br><br><font face=\"Arial\" size=\"5\" color=\"#000000\"><font color=\"#7F7F7F\">Log Out<font size=\"3\" color=\"#FFFFFF\"><br></b><br><br>Logout successful. Thank you for using WANRemote 3.0<center><br><br><font size=\"2\" color=\"#FFFFFF\"><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/main.gif\" border=\"0\"></a><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/up.gif\" border=\"0\"></a><a href=\"/x-logout\"><img src=\"http://195.182.165.1/~crypt98/x/logout.gif\" border=\"0\"></a><a href=\"/about\"><img src=\"http://195.182.165.1/~crypt98/x/about.gif\" border=\"0\"></a><br><br><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c3.jpg\"><br><br><b><font size=\"1\">Running server version <font color=\"#00FF00\">3.0<font color=\"#FFFFFq", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /root/ips_test2.0/backup/ips_pcap/system/10010057.pcap [2]strings /root/ips_test2.0/backup/ips_pcap/system/10010057.pcap", "异常时间": "2021-02-01 11:17:16", "异常文件": "/root/ips_test2.0/backup/ips_pcap/system/10010057.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /root/ips_test2.0/backup/ips_pcap/system/10010057.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.115/admin.php", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /home/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap [2]strings /home/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap", "异常时间": "2021-02-02 16:15:36", "异常文件": "/home/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /home/ips_test2.0/backup/ips_pcap/backdoor/10020181.pcap #删除恶意文件", "异常信息": "境外ip操作类：<html><title>WANRemote 3.0 - Log Out</title><body bgcolor=\"#000000\" text=\"#FFFFFF\" link=\"#00FF00\" vlink=\"#00FF00\" alink=\"#00FF00\" background=\"http://195.182.165.1/~crypt98/x/binary.gif\"><font face=\"Arial\" size=\"6\" color=\"#FFFFFF\"><center><b><i><img src=\"http://195.182.165.1/~crypt98/x/logo.gif\"> <img src=\"http://195.182.165.1/~crypt98/x/title.gif\"><br><br><font size=\"1\">Programmed by <font color=\"#00FF00\">BRAiN/TROUBLE<font color=\"#FFFFFF\"> 1999-2000</i><br><br><font face=\"Arial\" size=\"5\" color=\"#000000\"><font color=\"#7F7F7F\">Log Out<font size=\"3\" color=\"#FFFFFF\"><br></b><br><br>Logout successful. Thank you for using WANRemote 3.0<center><br><br><font size=\"2\" color=\"#FFFFFF\"><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/main.gif\" border=\"0\"></a><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/up.gif\" border=\"0\"></a><a href=\"/x-logout\"><img src=\"http://195.182.165.1/~crypt98/x/logout.gif\" border=\"0\"></a><a href=\"/about\"><img src=\"http://195.182.165.1/~crypt98/x/about.gif\" border=\"0\"></a><br><br><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c3.jpg\"><br><br><b><font size=\"1\">Running server version <font color=\"#00FF00\">3.0<font color=\"#FFFFFq", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /home/ips_test2.0/backup/ips_pcap/file/12020114.pcap [2]strings /home/ips_test2.0/backup/ips_pcap/file/12020114.pcap", "异常时间": "2021-02-02 16:15:36", "异常文件": "/home/ips_test2.0/backup/ips_pcap/file/12020114.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /home/ips_test2.0/backup/ips_pcap/file/12020114.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.126/repro/", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /home/ips_test2.0/backup/ips_pcap/system/10010057.pcap [2]strings /home/ips_test2.0/backup/ips_pcap/system/10010057.pcap", "异常时间": "2021-02-02 16:15:36", "异常文件": "/home/ips_test2.0/backup/ips_pcap/system/10010057.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /home/ips_test2.0/backup/ips_pcap/system/10010057.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.115/admin.php", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /home/ips_test2.0/ips_pcap/backdoor/10020181.pcap [2]strings /home/ips_test2.0/ips_pcap/backdoor/10020181.pcap", "异常时间": "2021-02-02 16:41:33", "异常文件": "/home/ips_test2.0/ips_pcap/backdoor/10020181.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /home/ips_test2.0/ips_pcap/backdoor/10020181.pcap #删除恶意文件", "异常信息": "境外ip操作类：<html><title>WANRemote 3.0 - Log Out</title><body bgcolor=\"#000000\" text=\"#FFFFFF\" link=\"#00FF00\" vlink=\"#00FF00\" alink=\"#00FF00\" background=\"http://195.182.165.1/~crypt98/x/binary.gif\"><font face=\"Arial\" size=\"6\" color=\"#FFFFFF\"><center><b><i><img src=\"http://195.182.165.1/~crypt98/x/logo.gif\"> <img src=\"http://195.182.165.1/~crypt98/x/title.gif\"><br><br><font size=\"1\">Programmed by <font color=\"#00FF00\">BRAiN/TROUBLE<font color=\"#FFFFFF\"> 1999-2000</i><br><br><font face=\"Arial\" size=\"5\" color=\"#000000\"><font color=\"#7F7F7F\">Log Out<font size=\"3\" color=\"#FFFFFF\"><br></b><br><br>Logout successful. Thank you for using WANRemote 3.0<center><br><br><font size=\"2\" color=\"#FFFFFF\"><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/main.gif\" border=\"0\"></a><a href=\"/\"><img src=\"http://195.182.165.1/~crypt98/x/up.gif\" border=\"0\"></a><a href=\"/x-logout\"><img src=\"http://195.182.165.1/~crypt98/x/logout.gif\" border=\"0\"></a><a href=\"/about\"><img src=\"http://195.182.165.1/~crypt98/x/about.gif\" border=\"0\"></a><br><br><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c0.jpg\"><img src=\"http://195.182.165.1/~crypt98/x/c3.jpg\"><br><br><b><font size=\"1\">Running server version <font color=\"#00FF00\">3.0<font color=\"#FFFFFq", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
2021-04-25 15:31:07,629 - {"进程PID": "", "手工排查确认": "[1]rpm -qa /home/ips_test2.0/ips_pcap/file/12020114.pcap [2]strings /home/ips_test2.0/ips_pcap/file/12020114.pcap", "异常时间": "2021-02-02 16:41:33", "异常文件": "/home/ips_test2.0/ips_pcap/file/12020114.pcap", "风险名称": "用户目录文件安全扫描", "处理方案": "rm /home/ips_test2.0/ips_pcap/file/12020114.pcap #删除恶意文件", "异常信息": "境外ip操作类：Referer: http://192.200.41.126/repro/", "检测项": "文件类安全检测", "风险级别": "风险", "所属用户": "root"}
